session_name,question,response
"Day 2, afternoon",could be improved for,An example from your work that shows why this is more efficient and how it can be used.
"Day 2, afternoon",could be improved for,But maybe a bit too slowly. A lot of repetition doing similar things like creating functions that has been done many times before and hence could have gone through faster - especially writing everything from scratch each time creating the function instead of re-using what already had done. Still have a hard time of seeing the great idea of doing things so detailed and use prespecified functions when a lot of this could be coded a lot faster otherwise.
"Day 2, afternoon",could be improved for,"Get the overview of why this is more efficient than e.g., script-based approach"
"Day 2, afternoon",could be improved for,I don't understand yet how I can implement this for my own data analysis
"Day 2, afternoon",could be improved for,"I feel like I don't know in which order and what all things I need to remember, so it could be useful to have a type of pseudo code like step 1. add packages to _targets.R, 2. add function to _targets.R and so on"
"Day 2, afternoon",could be improved for,I had trouble following the logic of the reading sections more in this session than previous. That could also be my poor knowledge of statistics but I missed a bit of the explanation here.
"Day 2, afternoon",could be improved for,I think all the steps from pivoting data into lipidomics_wide to the final stage to get a final tidy model output is a bit confusing. So a workflow with a focus on saving all the step would be nice.
"Day 2, afternoon",could be improved for,"It got a bit boring, with all respect. Maybe a bit less code along, and instead we could make more of the functions as exercises?"
"Day 2, afternoon",could be improved for,"It was a little slow and a difficult to understand. I ended up having a lot of extra time, where I tried to understand what we were doing"
"Day 2, afternoon",could be improved for,"It went a bit too fast for me, struggling to see the different applications of the targets function vs workflows"
"Day 2, afternoon",could be improved for,It would be nice to get more into why this workflow/targets approch is meaningful. It seems that we create a lot of code to do something very simple. Is it because it scales well or something else? Right now it is hard to understand why this approch is smart.
"Day 2, afternoon",could be improved for,"Maybe it took a long time to do the exercises, and they were repetitive at some point. Maybe could try to include extra exercises for those who finish faster with extra learning competences - but making them optional, so no one feels force to do them"
"Day 2, afternoon",could be improved for,Not ideas right now :)
"Day 2, afternoon",could be improved for,Nothing
"Day 2, afternoon",could be improved for,Nothing comes to mind.
"Day 2, afternoon",could be improved for,"Personally, i think the time alotted to the reading sections was a but too much time, and then you became a bit restless. I started spending time putting the functions into the _targets file everytime we had to read. Which i also wondered why we didnt do? :)"
"Day 2, afternoon",could be improved for,So we did not use github commit all day although we it was emphasized a lot yesterday :)
"Day 2, afternoon",could be improved for,"The pace was a bit slow, I think the instructor could go fasterIt was a bit too silent as wellIt was emphasized (more than once) that we will not learn statistical analysis methods/interpretation, however significant amount of time was spent doing that (explaining models, meaning of the final results)"
"Day 2, afternoon",could be improved for,"as previously mentioned, I would appreciate if we could have a greater picture of how the different parts of the session will be used in a real world project"
"Day 2, afternoon",could be improved for,my effort - I was a bit inattentive
"Day 2, afternoon",could be improved for,nothing
"Day 2, afternoon",could be improved for,"overall, it worked well, I do not have any points."
"Day 2, afternoon",could be improved for,"this felt a lot like the intermediate course, where we learned how to make functions. I feel like there was a bit too much emphasis on this, and we definitely could have gone a little faster in the 'making a functions' part, since we (assumably) already know this.I would have appreciated including other workflow examples, aside from stats."
"Day 2, afternoon",could be improved for,"to much code along, better with exercisesI do not understand the reason for the choice of setting up the model this way, why use parsnipe, recipe and workflows?"
"Day 2, afternoon",worked well for,Both nice to go through things stepwise and slowly.
"Day 2, afternoon",worked well for,Code a long sessions are nice
"Day 2, afternoon",worked well for,Great help during the session
"Day 2, afternoon",worked well for,"I really appreciate all the making functions, this is good practice."
"Day 2, afternoon",worked well for,"I think there is a good workflow, and it is nice with the code along sessions!"
"Day 2, afternoon",worked well for,Interesting new functions and approaches to apply standard statistical methods
"Day 2, afternoon",worked well for,"Isabell is an absolute queen—like, literal royalty in the classroom. Her teaching is so fabulous it deserves its own runway show, and her knowledge sparkles brighter than a diamond tiara. 10/10 would enroll in another course just to bask in her brilliance. Long live Queen Isabell!"
"Day 2, afternoon",worked well for,It was very easy to follow the documentation throughout the session. Having time to do the exercises on our own was nice.
"Day 2, afternoon",worked well for,It worked well to follow up the instructor through the coding sessions
"Day 2, afternoon",worked well for,"Nice tempo, nice to see different packages and functions (like tidy from the broom package)"
"Day 2, afternoon",worked well for,Nice to learn workflow
"Day 2, afternoon",worked well for,Nice to start with a walk and talk. Great to go through the codes together. Great with a lot of experience in functions.
"Day 2, afternoon",worked well for,No one left behind
"Day 2, afternoon",worked well for,The code-alongs
"Day 2, afternoon",worked well for,The overview of workflows
"Day 2, afternoon",worked well for,"The pace was a bit faster, which was nice"
"Day 2, afternoon",worked well for,The pace was good
"Day 2, afternoon",worked well for,The pace was nice when we worked through the code
"Day 2, afternoon",worked well for,"The reading exercises. It would be nice, if it was followed  by an explanation using other words than used in the reading task."
