session_name,date,question,response
Bundling code into functions,2026-05-05,improved,A bit slow for my taste but I understand that it is a nice pace for those who have not tried functions before
Bundling code into functions,2026-05-05,improved,I do not have any comments
Bundling code into functions,2026-05-05,improved,I dont know I think it was great
Bundling code into functions,2026-05-05,improved,"I found myself a bit sleepy after lunch, maybe we could have done some small physical activity midway through, to stand up or talk to the person sitting next to us - that would have helped me concentrating"
Bundling code into functions,2026-05-05,improved,"I found the concept of a function too abstract so would have liked for it to be more with examples of ""real life"" use of functions"
Bundling code into functions,2026-05-05,improved,"I struggled a bit with understanding the exercise text? For me it wasnt so clear what was ment by this part: In the read() function, add a new argument called max_rows after the file_path argument inside function(). We’ll called it max_rows because that’s a more descriptive name for it than n_max.Inside the function body, replace the n_max = 100 with n_max = max_rows so that the function will use the value given in the max_rows argument when it is used.Since we’d like this argument to be optional, meaning that we don’t have to use it (like the first code example above), we have to give the argument a default value in function(). Since we are using 100 already, let’s use that value by putting max_rows = 100 in function()."
Bundling code into functions,2026-05-05,improved,I think it was a good session
Bundling code into functions,2026-05-05,improved,I was a little confused about what we were doing (but able to complete the tasks without problems)
Bundling code into functions,2026-05-05,improved,I would have liked some specific examples during the lecture to make it more concrete and easier to remember.
Bundling code into functions,2026-05-05,improved,"It was a bit hard to understand the single steps in the production of the function-code, because it is totally new. But it made sense when it was repeated after the exercise."
Bundling code into functions,2026-05-05,improved,Maybe a bit more concrete and complex example of how functions can be used
Bundling code into functions,2026-05-05,improved,Maybe make the extra assignments easier to find?
Bundling code into functions,2026-05-05,improved,Maybe more examples of different functions?
Bundling code into functions,2026-05-05,improved,Not
Bundling code into functions,2026-05-05,improved,Nothing to add
Bundling code into functions,2026-05-05,improved,Perhaps another exercise in creating a function for another purpose - but maybe we'll go through this in the following sessions?
Bundling code into functions,2026-05-05,improved,Some of it maybe went a little fast
Bundling code into functions,2026-05-05,improved,The session was a bit long - maybe it could be a bit shorter/faster
Bundling code into functions,2026-05-05,improved,Would have liked to hear the ultimate goal of the function. An example of what we will have it look like in the end would make the different steps of it more relatable and clear to understand the purpose of it. Otherwise having to write the file-path out each time we use the read-function makes it close to as time-consuming as just copying the entire function and adjusting the file path.
Bundling code into functions,2026-05-05,improved,clearly specifing the meaning of max_rows before exercise is started
Bundling code into functions,2026-05-05,improved,if there was some reading material in the pre-workshop about functions.
Bundling code into functions,2026-05-05,improved,more interaction with the attendees
Bundling code into functions,2026-05-05,improved,perhaps some additional exercises for if you finished quickly
Bundling code into functions,2026-05-05,improved,"the timings on the readings were off, and the instructor always repeated exactly what we read which was a bit redundant"
Bundling code into functions,2026-05-05,improved,"was hard to follow in the beginning but its my fault, I am online"
Bundling code into functions,2026-05-05,worked well,All of it
Bundling code into functions,2026-05-05,worked well,Code a long
Bundling code into functions,2026-05-05,worked well,Code along
Bundling code into functions,2026-05-05,worked well,Code-along as always! And very calm instructor.
Bundling code into functions,2026-05-05,worked well,"Code-along, good tempo, easy access to help, nice peaople"
Bundling code into functions,2026-05-05,worked well,"Code-along, time for reading tasks."
Bundling code into functions,2026-05-05,worked well,Excellent to learn how to make functions
Bundling code into functions,2026-05-05,worked well,Good explanation but bit abstract to understand
Bundling code into functions,2026-05-05,worked well,"I liked the code along, very thorugh and easy to follow"
Bundling code into functions,2026-05-05,worked well,"I really like the mix of reading, lectures and excercises"
Bundling code into functions,2026-05-05,worked well,"I think it was good that there was some explanation for everything, while we went through it and at the same time we produced a function that we would actually use later."
Bundling code into functions,2026-05-05,worked well,Nice and clear presentation.
Bundling code into functions,2026-05-05,worked well,Pace
Bundling code into functions,2026-05-05,worked well,The coding-a-long part is great.
Bundling code into functions,2026-05-05,worked well,The exercise and type-along was nice.
Bundling code into functions,2026-05-05,worked well,"The pace is really good, and I am impressed how well written the reading material is. It is super complicated stuff."
Bundling code into functions,2026-05-05,worked well,The same as for the previous session.
